# Input,Serial time,Parallel time,Speedup
1,0.000013,0.000027,.4814
1,0.000014,0.000033,.4242
1,0.000011,0.000028,.3928
1,0.000013,0.000032,.4062
2,0.000994,0.000068,14.6176
3,0.002513,0.000071,35.3943
4,0.022923,0.000446,51.3968
5,0.122227,0.002079,58.7912
1,0.000012,0.000027,.4444
2,0.000875,0.000045,19.4444
3,0.002246,0.000060,37.4333
4,0.023160,0.000408,56.7647
5,0.124263,0.002069,60.0594
1,0.000014,0.000028,.5000
2,0.000851,0.000044,19.3409
3,0.002369,0.000057,41.5614
4,0.022929,0.000406,56.4753
5,0.122799,0.002054,59.7852
1,0.000014,0.000037,.3783
2,0.000879,0.000045,19.5333
3,0.002395,0.000061,39.2622
4,0.023179,0.000397,58.3853
5,0.122992,0.002030,60.5871
1,0.000015,0.000028,.5357
2,0.000874,0.000046,19.0000
3,0.002176,0.000062,35.0967
4,0.023160,0.000417,55.5395
5,0.125856,0.002065,60.9472
1,0.000013,0.000029,.4482
2,0.000919,0.000061,15.0655
3,0.002333,0.000080,29.1625
4,0.023101,0.000429,53.8484
5,0.123890,0.002116,58.5491
1,0.000012,0.000028,.4285
2,0.000878,0.000052,16.8846
3,0.002224,0.000070,31.7714
4,0.023366,0.000441,52.9841
5,0.122753,0.002102,58.3981
1,0.000013,0.000037,.3513
2,0.000876,0.000058,15.1034
3,0.002325,0.000074,31.4189
4,0.023155,0.000421,55.0000
5,0.123349,0.002100,58.7376
1,0.000013,0.000031,.4193
2,0.000930,0.000040,23.2500
3,0.002316,0.000060,38.6000
4,0.023402,0.000419,55.8520
5,0.121426,0.002052,59.1744
